No,Section,Handle,Title,Type,Colours,Shot,Filename,Position
63,Luxury / Tailored,nova-ledger-jacket,NOVA Ledger Jacket,Jacket,Black / Slate,Detail / third shot,nova-ledger-jacket-03-detail.png,3
64,Luxury / Tailored,nova-marrow-jacket,NOVA Marrow Jacket,Jacket,Black / Slate,Studio product,nova-marrow-jacket-01-studio.png,1
64,Luxury / Tailored,nova-marrow-jacket,NOVA Marrow Jacket,Jacket,Black / Slate,On model,nova-marrow-jacket-02-model.png,2
64,Luxury / Tailored,nova-marrow-jacket,NOVA Marrow Jacket,Jacket,Black / Slate,Detail / third shot,nova-marrow-jacket-03-detail.png,3
65,Luxury / Tailored,nova-nocturne-jacket,NOVA Nocturne Jacket,Jacket,Slate / Ink / Black,Studio product,nova-nocturne-jacket-01-studio.png,1
65,Luxury / Tailored,nova-nocturne-jacket,NOVA Nocturne Jacket,Jacket,Slate / Ink / Black,On model,nova-nocturne-jacket-02-model.png,2
65,Luxury / Tailored,nova-nocturne-jacket,NOVA Nocturne Jacket,Jacket,Slate / Ink / Black,Detail / third shot,nova-nocturne-jacket-03-detail.png,3
66,Luxury / Tailored,nova-obsidian-trouser,NOVA Obsidian Trouser,Trouser,Black / Charcoal,Studio product,nova-obsidian-trouser-01-studio.png,1
66,Luxury / Tailored,nova-obsidian-trouser,NOVA Obsidian Trouser,Trouser,Black / Charcoal,On model,nova-obsidian-trouser-02-model.png,2
66,Luxury / Tailored,nova-obsidian-trouser,NOVA Obsidian Trouser,Trouser,Black / Charcoal,Detail / third shot,nova-obsidian-trouser-03-detail.png,3
67,Luxury / Tailored,nova-plateau-trouser,NOVA Plateau Trouser,Trouser,Black / Charcoal / Slate,Studio product,nova-plateau-trouser-01-studio.png,1
67,Luxury / Tailored,nova-plateau-trouser,NOVA Plateau Trouser,Trouser,Black / Charcoal / Slate,On model,nova-plateau-trouser-02-model.png,2
67,Luxury / Tailored,nova-plateau-trouser,NOVA Plateau Trouser,Trouser,Black / Charcoal / Slate,Detail / third shot,nova-plateau-trouser-03-detail.png,3
68,Luxury / Tailored,nova-quiet-trouser,NOVA Quiet Trouser,Trouser,Slate / Black / Charcoal,Studio product,nova-quiet-trouser-01-studio.png,1
68,Luxury / Tailored,nova-quiet-trouser,NOVA Quiet Trouser,Trouser,Slate / Black / Charcoal,On model,nova-quiet-trouser-02-model.png,2
68,Luxury / Tailored,nova-quiet-trouser,NOVA Quiet Trouser,Trouser,Slate / Black / Charcoal,Detail / third shot,nova-quiet-trouser-03-detail.png,3
69,Luxury / Tailored,nova-rampart-trouser,NOVA Rampart Trouser,Trouser,Slate / Black / Charcoal,Studio product,nova-rampart-trouser-01-studio.png,1
69,Luxury / Tailored,nova-rampart-trouser,NOVA Rampart Trouser,Trouser,Slate / Black / Charcoal,On model,nova-rampart-trouser-02-model.png,2
69,Luxury / Tailored,nova-rampart-trouser,NOVA Rampart Trouser,Trouser,Slate / Black / Charcoal,Detail / third shot,nova-rampart-trouser-03-detail.png,3
70,Luxury / Tailored,nova-stratum-shirt,NOVA Stratum Shirt,Shirt,Off White / Bone,Studio product,nova-stratum-shirt-01-studio.png,1
70,Luxury / Tailored,nova-stratum-shirt,NOVA Stratum Shirt,Shirt,Off White / Bone,On model,nova-stratum-shirt-02-model.png,2
70,Luxury / Tailored,nova-stratum-shirt,NOVA Stratum Shirt,Shirt,Off White / Bone,Detail / third shot,nova-stratum-shirt-03-detail.png,3
71,Luxury / Tailored,nova-threshold-shirt,NOVA Threshold Shirt,Shirt,Bone / Off White,Studio product,nova-threshold-shirt-01-studio.png,1
71,Luxury / Tailored,nova-threshold-shirt,NOVA Threshold Shirt,Shirt,Bone / Off White,On model,nova-threshold-shirt-02-model.png,2
71,Luxury / Tailored,nova-threshold-shirt,NOVA Threshold Shirt,Shirt,Bone / Off White,Detail / third shot,nova-threshold-shirt-03-detail.png,3
72,Luxury / Tailored,nova-underline-shirt,NOVA Underline Shirt,Shirt,Bone / Off White,Studio product,nova-underline-shirt-01-studio.png,1
72,Luxury / Tailored,nova-underline-shirt,NOVA Underline Shirt,Shirt,Bone / Off White,On model,nova-underline-shirt-02-model.png,2
72,Luxury / Tailored,nova-underline-shirt,NOVA Underline Shirt,Shirt,Bone / Off White,Detail / third shot,nova-underline-shirt-03-detail.png,3
73,Women / Bias & Minimal,nova-column-dress,NOVA Column Dress,Dress,Black / Bone / Ink,Studio product,nova-column-dress-01-studio.png,1
73,Women / Bias & Minimal,nova-column-dress,NOVA Column Dress,Dress,Black / Bone / Ink,On model,nova-column-dress-02-model.png,2
73,Women / Bias & Minimal,nova-column-dress,NOVA Column Dress,Dress,Black / Bone / Ink,Detail / third shot,nova-column-dress-03-detail.png,3
74,Women / Bias & Minimal,nova-vellum-dress,NOVA Vellum Dress,Dress,Black / Bone,Studio product,nova-vellum-dress-01-studio.png,1
74,Women / Bias & Minimal,nova-vellum-dress,NOVA Vellum Dress,Dress,Black / Bone,On model,nova-vellum-dress-02-model.png,2
74,Women / Bias & Minimal,nova-vellum-dress,NOVA Vellum Dress,Dress,Black / Bone,Detail / third shot,nova-vellum-dress-03-detail.png,3
75,Women / Bias & Minimal,nova-wick-dress,NOVA Wick Dress,Dress,Ink / Sand / Black,Studio product,nova-wick-dress-01-studio.png,1
75,Women / Bias & Minimal,nova-wick-dress,NOVA Wick Dress,Dress,Ink / Sand / Black,On model,nova-wick-dress-02-model.png,2
75,Women / Bias & Minimal,nova-wick-dress,NOVA Wick Dress,Dress,Ink / Sand / Black,Detail / third shot,nova-wick-dress-03-detail.png,3
76,Women / Bias & Minimal,nova-xenon-dress,NOVA Xenon Dress,Dress,Ink / Sand,Studio product,nova-xenon-dress-01-studio.png,1
76,Women / Bias & Minimal,nova-xenon-dress,NOVA Xenon Dress,Dress,Ink / Sand,On model,nova-xenon-dress-02-model.png,2
76,Women / Bias & Minimal,nova-xenon-dress,NOVA Xenon Dress,Dress,Ink / Sand,Detail / third shot,nova-xenon-dress-03-detail.png,3
77,Women / Bias & Minimal,nova-yield-dress,NOVA Yield Dress,Dress,Black / Bone,Studio product,nova-yield-dress-01-studio.png,1
77,Women / Bias & Minimal,nova-yield-dress,NOVA Yield Dress,Dress,Black / Bone,On model,nova-yield-dress-02-model.png,2
77,Women / Bias & Minimal,nova-yield-dress,NOVA Yield Dress,Dress,Black / Bone,Detail / third shot,nova-yield-dress-03-detail.png,3
78,Women / Bias & Minimal,nova-zenith-dress,NOVA Zenith Dress,Dress,Sand / Black / Bone,Studio product,nova-zenith-dress-01-studio.png,1
78,Women / Bias & Minimal,nova-zenith-dress,NOVA Zenith Dress,Dress,Sand / Black / Bone,On model,nova-zenith-dress-02-model.png,2
78,Women / Bias & Minimal,nova-zenith-dress,NOVA Zenith Dress,Dress,Sand / Black / Bone,Detail / third shot,nova-zenith-dress-03-detail.png,3
79,Women / Bias & Minimal,nova-alloy-dress,NOVA Alloy Dress,Dress,Bone / Ink,Studio product,nova-alloy-dress-01-studio.png,1
79,Women / Bias & Minimal,nova-alloy-dress,NOVA Alloy Dress,Dress,Bone / Ink,On model,nova-alloy-dress-02-model.png,2
79,Women / Bias & Minimal,nova-alloy-dress,NOVA Alloy Dress,Dress,Bone / Ink,Detail / third shot,nova-alloy-dress-03-detail.png,3
80,Women / Bias & Minimal,nova-bramble-shirt,NOVA Bramble Shirt,Shirt,Bone / Off White / Slate,Studio product,nova-bramble-shirt-01-studio.png,1
80,Women / Bias & Minimal,nova-bramble-shirt,NOVA Bramble Shirt,Shirt,Bone / Off White / Slate,On model,nova-bramble-shirt-02-model.png,2
80,Women / Bias & Minimal,nova-bramble-shirt,NOVA Bramble Shirt,Shirt,Bone / Off White / Slate,Detail / third shot,nova-bramble-shirt-03-detail.png,3
81,Women / Bias & Minimal,nova-compass-shirt,NOVA Compass Shirt,Shirt,Off White / Slate,Studio product,nova-compass-shirt-01-studio.png,1
81,Women / Bias & Minimal,nova-compass-shirt,NOVA Compass Shirt,Shirt,Off White / Slate,On model,nova-compass-shirt-02-model.png,2
81,Women / Bias & Minimal,nova-compass-shirt,NOVA Compass Shirt,Shirt,Off White / Slate,Detail / third shot,nova-compass-shirt-03-detail.png,3
82,Women / Bias & Minimal,nova-dune-shirt,NOVA Dune Shirt,Shirt,Slate / Bone / Off White,Studio product,nova-dune-shirt-01-studio.png,1
82,Women / Bias & Minimal,nova-dune-shirt,NOVA Dune Shirt,Shirt,Slate / Bone / Off White,On model,nova-dune-shirt-02-model.png,2
82,Women / Bias & Minimal,nova-dune-shirt,NOVA Dune Shirt,Shirt,Slate / Bone / Off White,Detail / third shot,nova-dune-shirt-03-detail.png,3
83,Women / Bias & Minimal,nova-etch-trouser,NOVA Etch Trouser,Trouser,Sand / Charcoal,Studio product,nova-etch-trouser-01-studio.png,1
83,Women / Bias & Minimal,nova-etch-trouser,NOVA Etch Trouser,Trouser,Sand / Charcoal,On model,nova-etch-trouser-02-model.png,2
83,Women / Bias & Minimal,nova-etch-trouser,NOVA Etch Trouser,Trouser,Sand / Charcoal,Detail / third shot,nova-etch-trouser-03-detail.png,3
84,Women / Bias & Minimal,nova-flint-trouser,NOVA Flint Trouser,Trouser,Charcoal / Sand,Studio product,nova-flint-trouser-01-studio.png,1
84,Women / Bias & Minimal,nova-flint-trouser,NOVA Flint Trouser,Trouser,Charcoal / Sand,On model,nova-flint-trouser-02-model.png,2
84,Women / Bias & Minimal,nova-flint-trouser,NOVA Flint Trouser,Trouser,Charcoal / Sand,Detail / third shot,nova-flint-trouser-03-detail.png,3
85,Women / Bias & Minimal,nova-girder-trouser,NOVA Girder Trouser,Trouser,Sand / Charcoal,Studio product,nova-girder-trouser-01-studio.png,1
85,Women / Bias & Minimal,nova-girder-trouser,NOVA Girder Trouser,Trouser,Sand / Charcoal,On model,nova-girder-trouser-02-model.png,2
85,Women / Bias & Minimal,nova-girder-trouser,NOVA Girder Trouser,Trouser,Sand / Charcoal,Detail / third shot,nova-girder-trouser-03-detail.png,3
86,Accessories,nova-arc-cap,NOVA Arc Cap,Accessory,Olive / Charcoal / Black,Studio product,nova-arc-cap-01-studio.png,1
86,Accessories,nova-arc-cap,NOVA Arc Cap,Accessory,Olive / Charcoal / Black,On model,nova-arc-cap-02-model.png,2
86,Accessories,nova-arc-cap,NOVA Arc Cap,Accessory,Olive / Charcoal / Black,Detail / third shot,nova-arc-cap-03-detail.png,3
87,Accessories,nova-haven-cap,NOVA Haven Cap,Accessory,Bone / Olive / Charcoal,Studio product,nova-haven-cap-01-studio.png,1
87,Accessories,nova-haven-cap,NOVA Haven Cap,Accessory,Bone / Olive / Charcoal,On model,nova-haven-cap-02-model.png,2
87,Accessories,nova-haven-cap,NOVA Haven Cap,Accessory,Bone / Olive / Charcoal,Detail / third shot,nova-haven-cap-03-detail.png,3
88,Accessories,nova-ivory-cap,NOVA Ivory Cap,Accessory,Bone / Olive,Studio product,nova-ivory-cap-01-studio.png,1
88,Accessories,nova-ivory-cap,NOVA Ivory Cap,Accessory,Bone / Olive,On model,nova-ivory-cap-02-model.png,2
88,Accessories,nova-ivory-cap,NOVA Ivory Cap,Accessory,Bone / Olive,Detail / third shot,nova-ivory-cap-03-detail.png,3
89,Accessories,nova-jetty-cap,NOVA Jetty Cap,Accessory,Charcoal / Black / Bone,Studio product,nova-jetty-cap-01-studio.png,1
89,Accessories,nova-jetty-cap,NOVA Jetty Cap,Accessory,Charcoal / Black / Bone,On model,nova-jetty-cap-02-model.png,2
89,Accessories,nova-jetty-cap,NOVA Jetty Cap,Accessory,Charcoal / Black / Bone,Detail / third shot,nova-jetty-cap-03-detail.png,3
90,Accessories,nova-kiln-cap,NOVA Kiln Cap,Accessory,Charcoal / Black / Bone,Studio product,nova-kiln-cap-01-studio.png,1
90,Accessories,nova-kiln-cap,NOVA Kiln Cap,Accessory,Charcoal / Black / Bone,On model,nova-kiln-cap-02-model.png,2
90,Accessories,nova-kiln-cap,NOVA Kiln Cap,Accessory,Charcoal / Black / Bone,Detail / third shot,nova-kiln-cap-03-detail.png,3
91,Accessories,nova-carry-tote,NOVA Carry Tote,Accessory,Sand / Black,Studio product,nova-carry-tote-01-studio.png,1
91,Accessories,nova-carry-tote,NOVA Carry Tote,Accessory,Sand / Black,On model,nova-carry-tote-02-model.png,2
91,Accessories,nova-carry-tote,NOVA Carry Tote,Accessory,Sand / Black,Detail / third shot,nova-carry-tote-03-detail.png,3
92,Accessories,nova-loam-tote,NOVA Loam Tote,Accessory,Sand / Black / Bone,Studio product,nova-loam-tote-01-studio.png,1
92,Accessories,nova-loam-tote,NOVA Loam Tote,Accessory,Sand / Black / Bone,On model,nova-loam-tote-02-model.png,2
92,Accessories,nova-loam-tote,NOVA Loam Tote,Accessory,Sand / Black / Bone,Detail / third shot,nova-loam-tote-03-detail.png,3
93,Accessories,nova-mesa-tote,NOVA Mesa Tote,Accessory,Sand / Black / Bone,Studio product,nova-mesa-tote-01-studio.png,1
93,Accessories,nova-mesa-tote,NOVA Mesa Tote,Accessory,Sand / Black / Bone,On model,nova-mesa-tote-02-model.png,2
93,Accessories,nova-mesa-tote,NOVA Mesa Tote,Accessory,Sand / Black / Bone,Detail / third shot,nova-mesa-tote-03-detail.png,3
94,Accessories,nova-notch-tote,NOVA Notch Tote,Accessory,Bone / Sand / Black,Studio product,nova-notch-tote-01-studio.png,1
94,Accessories,nova-notch-tote,NOVA Notch Tote,Accessory,Bone / Sand / Black,On model,nova-notch-tote-02-model.png,2
94,Accessories,nova-notch-tote,NOVA Notch Tote,Accessory,Bone / Sand / Black,Detail / third shot,nova-notch-tote-03-detail.png,3
95,Accessories,nova-ochre-tote,NOVA Ochre Tote,Accessory,Sand / Black,Studio product,nova-ochre-tote-01-studio.png,1
95,Accessories,nova-ochre-tote,NOVA Ochre Tote,Accessory,Sand / Black,On model,nova-ochre-tote-02-model.png,2
95,Accessories,nova-ochre-tote,NOVA Ochre Tote,Accessory,Sand / Black,Detail / third shot,nova-ochre-tote-03-detail.png,3
96,Accessories,nova-shield-sunglasses,NOVA Shield Sunglasses,Accessory,Black / Slate,Studio product,nova-shield-sunglasses-01-studio.png,1
96,Accessories,nova-shield-sunglasses,NOVA Shield Sunglasses,Accessory,Black / Slate,On model,nova-shield-sunglasses-02-model.png,2
96,Accessories,nova-shield-sunglasses,NOVA Shield Sunglasses,Accessory,Black / Slate,Detail / third shot,nova-shield-sunglasses-03-detail.png,3
97,Accessories,nova-pier-sunglasses,NOVA Pier Sunglasses,Accessory,Slate / Ink / Black,Studio product,nova-pier-sunglasses-01-studio.png,1
97,Accessories,nova-pier-sunglasses,NOVA Pier Sunglasses,Accessory,Slate / Ink / Black,On model,nova-pier-sunglasses-02-model.png,2
97,Accessories,nova-pier-sunglasses,NOVA Pier Sunglasses,Accessory,Slate / Ink / Black,Detail / third shot,nova-pier-sunglasses-03-detail.png,3
98,Accessories,nova-quill-sunglasses,NOVA Quill Sunglasses,Accessory,Slate / Ink,Studio product,nova-quill-sunglasses-01-studio.png,1
98,Accessories,nova-quill-sunglasses,NOVA Quill Sunglasses,Accessory,Slate / Ink,On model,nova-quill-sunglasses-02-model.png,2
98,Accessories,nova-quill-sunglasses,NOVA Quill Sunglasses,Accessory,Slate / Ink,Detail / third shot,nova-quill-sunglasses-03-detail.png,3
99,Accessories,nova-rill-sunglasses,NOVA Rill Sunglasses,Accessory,Slate / Ink / Black,Studio product,nova-rill-sunglasses-01-studio.png,1
99,Accessories,nova-rill-sunglasses,NOVA Rill Sunglasses,Accessory,Slate / Ink / Black,On model,nova-rill-sunglasses-02-model.png,2
99,Accessories,nova-rill-sunglasses,NOVA Rill Sunglasses,Accessory,Slate / Ink / Black,Detail / third shot,nova-rill-sunglasses-03-detail.png,3
100,Accessories,nova-shale-sunglasses,NOVA Shale Sunglasses,Accessory,Black / Slate,Studio product,nova-shale-sunglasses-01-studio.png,1
100,Accessories,nova-shale-sunglasses,NOVA Shale Sunglasses,Accessory,Black / Slate,On model,nova-shale-sunglasses-02-model.png,2
100,Accessories,nova-shale-sunglasses,NOVA Shale Sunglasses,Accessory,Black / Slate,Detail / third shot,nova-shale-sunglasses-03-detail.png,3
